ID,Name,Type,Origin,Weight(kg),Storage,StorageMethod,ExpiryDate,EntryDate,ExitDate,Status,Unit,UnitPrice,EntryManager,ExitManager,QualityCheck,QualityCheckDate
RM101,보리,곡물,스코틀랜드,1193,창고 A,저온 건조,2025-12-01,2025-03-01,,정상,kg,950,김입고,,통과,2025-03-01
RM102,호밀,곡물,미국,798,창고 A,상온 보관,2025-11-15,2025-03-03,,정상,kg,900,박입고,,통과,2025-03-03
RM103,물,기타,제조 현장,4999,탱크 B,청결 밀봉,-,2025-03-02,,정상,L,100,최입고,,검사 없음,-
RM104,옥수수,곡물,캐나다,600,창고 B,상온 보관,2025-10-20,2025-03-05,,정상,kg,920,이입고,,불량,2025-03-05
RM105,밀,곡물,독일,700,창고 C,저온 건조,2025-09-30,2025-03-07,,정상,kg,930,김입고,,통과,2025-03-07
RM106,귀리,곡물,호주,550,창고 D,상온 보관,2025-12-10,2025-03-09,,정상,kg,910,박입고,,검사 안함,2025-03-09
RM107,쌀,곡물,일본,650,창고 A,저온 건조,2025-08-25,2025-03-11,,정상,kg,940,최입고,,통과,2025-03-11
RM108,옥수수,곡물,미국,900,창고 B,상온 보관,2025-10-28,2025-03-13,,정상,kg,925,이입고,,불량,2025-03-13
RM109,보리,곡물,스코틀랜드,1100,창고 A,저온 건조,2025-12-15,2025-03-15,,정상,kg,955,김입고,,통과,2025-03-15
RM110,호밀,곡물,미국,850,창고 A,상온 보관,2025-11-20,2025-03-17,,정상,kg,905,박입고,,통과,2025-03-17
RM111,보리,곡물,스코틀랜드,950,창고 C,저온 건조,2025-12-22,2025-03-19,,정상,kg,960,최입고,,검사 안함,2025-03-19
RM112,귀리,곡물,호주,600,창고 D,상온 보관,2025-12-30,2025-03-21,,정상,kg,915,이입고,,통과,2025-03-21
